age,gender,race,educ,urban,region,income,occup1,union,religion,vote,presvote
33,male,White,SomeCollege,suburban,north central,34-67 %ile,skilled,no,catholic,yes,republican
33,female,White,SomeCollege,suburban,south,34-67 %ile,professional,no,protestant,yes,other
33,male,White,SomeCollege,suburban,south,68-95 %ile,skilled,no,other,yes,democrat
69,female,White,HighSchool,suburban,north central,34-67 %ile,homemakers,yes,protestant,yes,democrat
30,female,White,SomeCollege,rural,northeast,34-67 %ile,clerical,no,protestant,yes,democrat
31,female,NativeAmerican,SomeCollege,rural,south,68-95 %ile,clerical,no,protestant,yes,other
72,female,White,HighSchool,suburban,north central,17-33 %ile,skilled,no,catholic,yes,republican
23,male,White,SomeCollege,rural,south,68-95 %ile,skilled,yes,other,yes,other
39,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,republican
41,female,White,HighSchool,suburban,northeast,34-67 %ile,laborer,yes,protestant,yes,NA
36,male,White,CollegeDegree,suburban,north central,34-67 %ile,professional,no,protestant,yes,democrat
64,male,White,HighSchool,central,north central,68-95 %ile,skilled,no,protestant,yes,republican
39,male,NativeAmerican,SomeCollege,suburban,south,68-95 %ile,laborer,no,catholic,no,NA
31,male,White,CollegeDegree,suburban,north central,68-95 %ile,professional,no,catholic,yes,republican
71,female,Black,HighSchool,suburban,northeast,17-33 %ile,skilled,no,protestant,yes,democrat
35,female,White,SomeCollege,rural,north central,34-67 %ile,clerical,no,protestant,yes,republican
89,female,White,GradeSchool,suburban,north central,17-33 %ile,professional,no,protestant,yes,republican
20,male,White,HighSchool,central,west,34-67 %ile,skilled,no,protestant,no,NA
56,female,NativeAmerican,SomeCollege,central,west,34-67 %ile,clerical,no,other,yes,democrat
64,female,White,SomeCollege,central,west,34-67 %ile,professional,no,protestant,yes,republican
62,male,White,HighSchool,central,north central,34-67 %ile,skilled,yes,catholic,yes,democrat
52,male,White,CollegeDegree,central,north central,34-67 %ile,clerical,no,protestant,yes,other
66,female,Black,GradeSchool,suburban,south,34-67 %ile,skilled,no,catholic,no,NA
69,female,Black,CollegeDegree,central,south,17-33 %ile,professional,no,protestant,yes,democrat
33,male,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,protestant,yes,republican
69,female,White,HighSchool,central,northeast,34-67 %ile,homemakers,yes,catholic,yes,democrat
23,male,White,SomeCollege,suburban,north central,34-67 %ile,clerical,no,protestant,yes,republican
30,male,White,HighSchool,rural,north central,34-67 %ile,skilled,yes,other,yes,democrat
43,male,White,SomeCollege,rural,northeast,34-67 %ile,professional,no,protestant,yes,republican
67,female,White,HighSchool,suburban,north central,17-33 %ile,homemakers,no,protestant,yes,other
27,male,Black,HighSchool,rural,south,68-95 %ile,farmers,no,protestant,yes,democrat
80,male,White,HighSchool,rural,northeast,0-16 %ile,skilled,no,other,yes,republican
37,male,White,HighSchool,rural,northeast,68-95 %ile,skilled,no,catholic,yes,democrat
32,male,Hispanic,CollegeDegree,rural,south,34-67 %ile,professional,no,catholic,yes,democrat
53,male,White,CollegeDegree,suburban,south,68-95 %ile,skilled,no,protestant,yes,republican
54,female,NativeAmerican,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,protestant,yes,republican
68,male,Hispanic,GradeSchool,suburban,west,17-33 %ile,farmers,no,catholic,yes,democrat
36,female,Hispanic,SomeCollege,suburban,west,17-33 %ile,skilled,no,protestant,yes,democrat
35,female,White,CollegeDegree,suburban,north central,34-67 %ile,clerical,no,catholic,yes,republican
39,male,Black,SomeCollege,suburban,south,0-16 %ile,skilled,yes,protestant,yes,democrat
54,female,White,HighSchool,rural,northeast,68-95 %ile,professional,no,catholic,yes,democrat
34,male,Black,SomeCollege,central,west,34-67 %ile,clerical,yes,protestant,yes,democrat
27,female,White,CollegeDegree,suburban,northeast,17-33 %ile,skilled,yes,other,yes,republican
62,female,White,HighSchool,rural,north central,0-16 %ile,clerical,no,protestant,yes,republican
44,female,White,HighSchool,suburban,south,17-33 %ile,clerical,no,protestant,yes,republican
22,male,White,HighSchool,suburban,west,17-33 %ile,skilled,no,catholic,no,NA
27,female,White,HighSchool,rural,north central,17-33 %ile,homemakers,no,protestant,no,NA
71,male,White,SomeCollege,suburban,north central,34-67 %ile,skilled,yes,protestant,yes,democrat
70,male,Black,GradeSchool,central,north central,17-33 %ile,skilled,yes,protestant,yes,democrat
18,male,White,HighSchool,rural,south,68-95 %ile,laborer,no,protestant,no,NA
51,male,White,SomeCollege,suburban,northeast,68-95 %ile,professional,no,catholic,yes,other
35,male,White,SomeCollege,suburban,north central,68-95 %ile,professional,no,protestant,yes,republican
37,male,Black,HighSchool,central,north central,34-67 %ile,skilled,yes,protestant,no,NA
54,female,White,HighSchool,central,north central,17-33 %ile,homemakers,yes,protestant,yes,democrat
37,male,White,CollegeDegree,suburban,south,96-100 %ile,clerical,no,protestant,yes,republican
58,female,Black,GradeSchool,rural,south,0-16 %ile,professional,no,protestant,yes,democrat
30,male,White,SomeCollege,suburban,south,0-16 %ile,clerical,no,other,no,NA
58,male,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,protestant,yes,other
77,male,White,HighSchool,suburban,north central,0-16 %ile,skilled,no,protestant,yes,democrat
32,female,White,HighSchool,suburban,northeast,34-67 %ile,homemakers,no,protestant,no,NA
17,female,Black,HighSchool,central,northeast,34-67 %ile,professional,yes,protestant,no,NA
53,male,Black,SomeCollege,central,northeast,68-95 %ile,professional,no,other,yes,democrat
42,female,Black,CollegeDegree,central,northeast,0-16 %ile,professional,no,protestant,yes,democrat
35,female,Black,SomeCollege,central,northeast,68-95 %ile,clerical,yes,protestant,yes,democrat
44,female,White,SomeCollege,suburban,northeast,68-95 %ile,skilled,yes,protestant,yes,democrat
39,female,White,SomeCollege,suburban,northeast,34-67 %ile,homemakers,no,catholic,yes,democrat
30,female,White,SomeCollege,central,south,68-95 %ile,clerical,no,protestant,yes,republican
49,female,White,HighSchool,rural,south,17-33 %ile,skilled,no,protestant,yes,democrat
32,female,White,SomeCollege,suburban,south,34-67 %ile,professional,no,protestant,yes,republican
45,female,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,protestant,yes,democrat
51,female,White,CollegeDegree,rural,north central,68-95 %ile,professional,yes,catholic,yes,other
78,female,Black,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,democrat
67,male,White,HighSchool,rural,west,17-33 %ile,professional,no,other,no,NA
43,male,White,SomeCollege,rural,west,68-95 %ile,professional,no,catholic,yes,other
84,female,White,HighSchool,suburban,northeast,17-33 %ile,homemakers,no,protestant,yes,democrat
59,female,White,HighSchool,suburban,north central,68-95 %ile,homemakers,yes,protestant,yes,democrat
34,male,White,SomeCollege,suburban,south,68-95 %ile,professional,no,catholic,yes,republican
28,female,White,HighSchool,suburban,north central,68-95 %ile,skilled,no,protestant,yes,republican
58,female,White,HighSchool,central,north central,68-95 %ile,homemakers,no,catholic,yes,republican
43,male,White,HighSchool,central,north central,68-95 %ile,professional,no,other,yes,democrat
83,female,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,protestant,yes,republican
51,male,White,CollegeDegree,central,west,96-100 %ile,clerical,no,protestant,yes,republican
65,male,White,CollegeDegree,rural,northeast,68-95 %ile,professional,no,jewish,yes,republican
67,female,White,CollegeDegree,rural,northeast,17-33 %ile,professional,no,protestant,yes,republican
38,female,White,CollegeDegree,rural,northeast,68-95 %ile,professional,yes,catholic,yes,democrat
33,female,White,HighSchool,rural,northeast,17-33 %ile,professional,no,catholic,yes,republican
26,male,White,HighSchool,rural,north central,34-67 %ile,skilled,no,catholic,yes,republican
23,male,White,CollegeDegree,rural,north central,0-16 %ile,professional,no,protestant,yes,democrat
25,female,White,SomeCollege,suburban,south,68-95 %ile,professional,no,protestant,yes,other
34,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,catholic,no,NA
34,female,Black,CollegeDegree,rural,south,96-100 %ile,professional,no,catholic,yes,democrat
63,male,White,HighSchool,suburban,north central,68-95 %ile,professional,yes,protestant,yes,republican
48,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,yes,catholic,yes,republican
85,male,White,CollegeDegree,central,south,68-95 %ile,skilled,no,other,yes,republican
30,male,White,CollegeDegree,suburban,northeast,34-67 %ile,professional,no,catholic,yes,republican
81,male,White,SomeCollege,suburban,northeast,68-95 %ile,professional,no,protestant,yes,democrat
39,male,White,CollegeDegree,suburban,north central,68-95 %ile,professional,no,protestant,yes,republican
40,male,White,CollegeDegree,suburban,south,68-95 %ile,clerical,no,catholic,yes,republican
38,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,protestant,yes,republican
36,male,White,CollegeDegree,suburban,south,0-16 %ile,professional,no,protestant,yes,other
43,male,White,HighSchool,suburban,south,68-95 %ile,clerical,no,protestant,yes,democrat
46,female,Black,SomeCollege,central,north central,17-33 %ile,skilled,yes,protestant,yes,democrat
26,male,White,HighSchool,suburban,north central,68-95 %ile,skilled,no,protestant,yes,other
41,female,White,SomeCollege,suburban,north central,68-95 %ile,clerical,yes,catholic,yes,NA
55,female,White,HighSchool,central,north central,34-67 %ile,skilled,yes,protestant,yes,democrat
51,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,no,NA
46,female,Black,SomeCollege,central,south,68-95 %ile,clerical,yes,protestant,yes,democrat
36,male,White,SomeCollege,central,west,0-16 %ile,clerical,no,protestant,yes,democrat
25,female,White,SomeCollege,central,west,17-33 %ile,skilled,no,other,yes,democrat
36,female,White,SomeCollege,rural,south,68-95 %ile,clerical,yes,protestant,yes,republican
37,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,other,yes,other
32,male,White,CollegeDegree,rural,north central,68-95 %ile,clerical,no,protestant,yes,other
78,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,republican
65,female,White,SomeCollege,suburban,south,34-67 %ile,clerical,no,protestant,yes,democrat
31,male,White,CollegeDegree,suburban,north central,34-67 %ile,professional,no,catholic,yes,democrat
37,female,White,HighSchool,rural,south,34-67 %ile,skilled,yes,protestant,yes,republican
73,female,Black,HighSchool,suburban,northeast,17-33 %ile,skilled,no,protestant,yes,democrat
51,female,White,SomeCollege,suburban,north central,68-95 %ile,homemakers,no,other,yes,democrat
38,female,Hispanic,CollegeDegree,central,south,17-33 %ile,professional,no,catholic,yes,republican
34,female,Black,HighSchool,central,south,17-33 %ile,skilled,no,protestant,yes,democrat
51,male,White,HighSchool,central,south,0-16 %ile,skilled,no,protestant,no,NA
19,female,NativeAmerican,HighSchool,rural,south,96-100 %ile,homemakers,no,other,no,NA
36,male,White,SomeCollege,rural,west,0-16 %ile,skilled,no,other,yes,NA
38,female,White,CollegeDegree,rural,west,0-16 %ile,clerical,no,other,yes,other
35,female,White,HighSchool,central,south,17-33 %ile,homemakers,no,other,yes,republican
24,male,White,SomeCollege,suburban,south,17-33 %ile,skilled,no,other,yes,democrat
49,male,White,SomeCollege,rural,south,96-100 %ile,professional,no,protestant,no,NA
39,male,White,CollegeDegree,rural,south,17-33 %ile,professional,no,protestant,yes,democrat
39,female,White,HighSchool,suburban,north central,68-95 %ile,professional,no,protestant,yes,republican
41,male,White,SomeCollege,rural,north central,34-67 %ile,farmers,no,protestant,yes,republican
60,female,White,HighSchool,rural,north central,17-33 %ile,clerical,no,catholic,yes,democrat
51,male,White,SomeCollege,central,south,68-95 %ile,professional,yes,protestant,yes,republican
41,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,yes,democrat
19,male,White,SomeCollege,rural,north central,68-95 %ile,professional,no,catholic,yes,other
70,female,White,CollegeDegree,rural,north central,68-95 %ile,professional,no,catholic,yes,republican
71,male,White,HighSchool,central,north central,34-67 %ile,skilled,no,catholic,yes,democrat
79,female,White,HighSchool,suburban,north central,17-33 %ile,clerical,no,catholic,yes,republican
32,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,protestant,yes,republican
49,female,White,SomeCollege,suburban,south,68-95 %ile,professional,no,protestant,yes,other
37,female,White,SomeCollege,suburban,south,68-95 %ile,homemakers,no,protestant,yes,republican
68,female,White,HighSchool,rural,south,68-95 %ile,clerical,no,protestant,yes,democrat
32,male,White,HighSchool,rural,south,34-67 %ile,skilled,no,protestant,no,NA
49,female,White,HighSchool,central,north central,34-67 %ile,skilled,yes,protestant,no,NA
38,male,White,GradeSchool,central,northeast,34-67 %ile,professional,no,other,no,NA
33,female,Black,SomeCollege,rural,south,34-67 %ile,clerical,no,protestant,yes,democrat
69,female,Black,GradeSchool,rural,south,0-16 %ile,skilled,no,protestant,yes,democrat
41,male,Asian,HighSchool,central,northeast,68-95 %ile,skilled,no,other,no,NA
50,male,White,CollegeDegree,central,south,96-100 %ile,professional,no,catholic,yes,democrat
51,female,White,HighSchool,rural,south,34-67 %ile,clerical,no,other,yes,democrat
60,female,White,SomeCollege,suburban,south,34-67 %ile,clerical,no,protestant,yes,republican
52,female,Black,GradeSchool,suburban,northeast,0-16 %ile,skilled,no,protestant,no,NA
67,female,White,HighSchool,central,north central,34-67 %ile,professional,yes,other,yes,democrat
40,male,White,SomeCollege,suburban,south,0-16 %ile,clerical,no,other,yes,democrat
29,male,White,SomeCollege,central,south,34-67 %ile,skilled,no,other,yes,other
39,female,White,CollegeDegree,suburban,south,68-95 %ile,clerical,no,protestant,yes,republican
37,female,White,CollegeDegree,central,west,68-95 %ile,professional,yes,protestant,yes,democrat
28,female,Black,SomeCollege,central,northeast,34-67 %ile,clerical,no,catholic,no,NA
35,female,White,CollegeDegree,rural,south,96-100 %ile,clerical,no,protestant,yes,other
49,male,White,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,catholic,yes,republican
23,female,White,CollegeDegree,rural,north central,34-67 %ile,clerical,no,other,yes,democrat
77,male,White,HighSchool,rural,south,17-33 %ile,clerical,no,protestant,yes,NA
63,male,White,HighSchool,rural,north central,68-95 %ile,skilled,no,protestant,no,NA
68,female,White,HighSchool,suburban,south,0-16 %ile,skilled,no,protestant,no,NA
35,female,White,CollegeDegree,suburban,northeast,96-100 %ile,professional,no,other,yes,democrat
48,male,White,GradeSchool,suburban,north central,68-95 %ile,laborer,yes,protestant,yes,democrat
81,male,White,GradeSchool,suburban,north central,0-16 %ile,skilled,yes,protestant,yes,republican
23,female,Black,SomeCollege,central,south,34-67 %ile,homemakers,yes,other,yes,democrat
88,female,White,HighSchool,suburban,northeast,17-33 %ile,clerical,no,jewish,yes,democrat
31,male,Asian,CollegeDegree,suburban,south,68-95 %ile,professional,no,other,yes,republican
54,female,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,no,NA
39,male,White,CollegeDegree,central,north central,68-95 %ile,professional,no,protestant,yes,other
71,female,White,SomeCollege,central,south,34-67 %ile,clerical,no,catholic,yes,republican
73,female,White,SomeCollege,suburban,north central,17-33 %ile,clerical,yes,protestant,yes,republican
19,male,White,SomeCollege,suburban,north central,68-95 %ile,skilled,no,other,yes,democrat
39,male,Hispanic,HighSchool,central,west,34-67 %ile,skilled,yes,catholic,yes,democrat
65,female,White,CollegeDegree,rural,northeast,34-67 %ile,professional,no,catholic,yes,democrat
81,male,White,GradeSchool,rural,northeast,34-67 %ile,skilled,no,other,yes,other
37,female,White,SomeCollege,rural,northeast,17-33 %ile,professional,yes,protestant,yes,democrat
35,female,White,CollegeDegree,rural,northeast,96-100 %ile,homemakers,no,protestant,yes,republican
65,male,White,GradeSchool,rural,northeast,17-33 %ile,skilled,no,protestant,yes,democrat
68,male,White,CollegeDegree,suburban,northeast,34-67 %ile,professional,no,catholic,yes,other
35,male,White,HighSchool,rural,north central,34-67 %ile,clerical,no,catholic,yes,other
62,female,Hispanic,GradeSchool,suburban,south,0-16 %ile,skilled,no,protestant,yes,democrat
43,female,Black,HighSchool,suburban,south,17-33 %ile,skilled,no,protestant,yes,democrat
32,male,White,SomeCollege,central,west,68-95 %ile,skilled,yes,other,no,NA
21,female,NativeAmerican,HighSchool,central,west,34-67 %ile,clerical,no,protestant,yes,republican
51,female,White,SomeCollege,central,west,17-33 %ile,professional,no,protestant,yes,democrat
26,female,Hispanic,HighSchool,central,west,17-33 %ile,homemakers,no,other,yes,republican
31,male,White,CollegeDegree,suburban,northeast,17-33 %ile,clerical,no,protestant,yes,democrat
35,female,White,CollegeDegree,suburban,south,34-67 %ile,professional,yes,protestant,yes,republican
65,male,White,CollegeDegree,central,west,68-95 %ile,professional,no,protestant,yes,republican
43,male,White,HighSchool,rural,north central,34-67 %ile,farmers,no,catholic,yes,democrat
79,female,White,SomeCollege,rural,west,68-95 %ile,professional,no,protestant,yes,republican
59,male,White,CollegeDegree,rural,west,68-95 %ile,professional,yes,protestant,yes,democrat
45,female,White,CollegeDegree,rural,northeast,34-67 %ile,professional,yes,catholic,yes,democrat
35,male,White,HighSchool,rural,south,68-95 %ile,professional,no,other,no,NA
54,female,White,SomeCollege,rural,south,34-67 %ile,clerical,no,protestant,yes,democrat
57,female,White,HighSchool,rural,south,34-67 %ile,farmers,yes,protestant,yes,republican
60,female,White,SomeCollege,central,west,17-33 %ile,clerical,no,catholic,yes,democrat
60,female,Hispanic,HighSchool,suburban,west,68-95 %ile,skilled,no,catholic,yes,other
22,female,White,HighSchool,suburban,west,34-67 %ile,clerical,yes,protestant,yes,democrat
49,female,White,SomeCollege,suburban,north central,96-100 %ile,professional,no,protestant,yes,republican
31,female,White,HighSchool,suburban,north central,68-95 %ile,clerical,no,catholic,yes,democrat
58,male,White,HighSchool,rural,north central,34-67 %ile,clerical,no,other,yes,republican
31,female,White,SomeCollege,central,south,68-95 %ile,professional,no,catholic,yes,democrat
59,female,White,CollegeDegree,central,south,68-95 %ile,professional,no,protestant,yes,republican
31,male,White,HighSchool,central,west,34-67 %ile,skilled,no,catholic,no,NA
39,male,White,HighSchool,rural,northeast,68-95 %ile,professional,no,protestant,yes,other
40,male,White,SomeCollege,rural,northeast,68-95 %ile,clerical,yes,catholic,yes,democrat
22,female,White,SomeCollege,central,north central,68-95 %ile,clerical,yes,protestant,yes,other
33,male,Black,CollegeDegree,central,south,68-95 %ile,clerical,yes,protestant,yes,democrat
68,male,White,HighSchool,rural,northeast,68-95 %ile,skilled,no,catholic,yes,democrat
27,female,White,HighSchool,rural,south,68-95 %ile,clerical,no,protestant,yes,democrat
45,male,White,CollegeDegree,suburban,northeast,68-95 %ile,clerical,no,catholic,yes,republican
74,male,White,HighSchool,suburban,northeast,17-33 %ile,skilled,no,catholic,yes,democrat
18,male,White,HighSchool,central,south,68-95 %ile,skilled,no,protestant,yes,republican
21,male,Hispanic,SomeCollege,central,south,34-67 %ile,farmers,no,protestant,yes,republican
66,male,Black,HighSchool,central,south,0-16 %ile,skilled,no,protestant,no,NA
65,female,White,HighSchool,suburban,south,34-67 %ile,clerical,no,protestant,yes,republican
37,male,White,CollegeDegree,central,west,68-95 %ile,professional,no,protestant,yes,republican
34,male,White,CollegeDegree,central,west,68-95 %ile,professional,no,protestant,yes,republican
25,female,Hispanic,HighSchool,suburban,south,68-95 %ile,clerical,yes,other,yes,democrat
35,female,White,HighSchool,suburban,north central,34-67 %ile,clerical,no,protestant,yes,republican
22,female,White,HighSchool,rural,south,0-16 %ile,homemakers,no,protestant,no,NA
38,male,White,HighSchool,rural,south,34-67 %ile,skilled,no,protestant,no,NA
44,male,NativeAmerican,CollegeDegree,rural,south,34-67 %ile,skilled,no,protestant,yes,democrat
40,female,Black,HighSchool,rural,south,0-16 %ile,homemakers,no,protestant,no,NA
29,female,White,SomeCollege,suburban,west,68-95 %ile,clerical,no,protestant,yes,democrat
22,female,White,SomeCollege,suburban,north central,17-33 %ile,skilled,no,catholic,yes,other
28,male,White,SomeCollege,suburban,north central,34-67 %ile,clerical,no,catholic,yes,NA
40,female,White,CollegeDegree,central,south,68-95 %ile,homemakers,no,catholic,yes,democrat
32,female,White,SomeCollege,suburban,north central,68-95 %ile,clerical,no,catholic,yes,republican
46,female,White,SomeCollege,suburban,north central,34-67 %ile,homemakers,no,protestant,yes,republican
43,male,White,CollegeDegree,suburban,north central,68-95 %ile,clerical,yes,protestant,yes,democrat
30,female,White,CollegeDegree,suburban,north central,68-95 %ile,professional,yes,protestant,yes,republican
35,male,White,SomeCollege,suburban,north central,34-67 %ile,farmers,no,protestant,yes,republican
34,female,White,HighSchool,suburban,north central,34-67 %ile,clerical,no,protestant,yes,republican
81,male,White,GradeSchool,central,south,0-16 %ile,skilled,no,other,no,NA
56,female,White,HighSchool,suburban,north central,68-95 %ile,professional,no,protestant,yes,NA
54,male,Black,GradeSchool,rural,south,34-67 %ile,skilled,no,protestant,no,NA
67,female,White,HighSchool,rural,north central,17-33 %ile,homemakers,no,protestant,yes,republican
45,female,White,GradeSchool,rural,south,0-16 %ile,skilled,no,protestant,no,NA
23,female,White,SomeCollege,suburban,north central,17-33 %ile,clerical,no,catholic,yes,republican
45,female,Black,SomeCollege,central,north central,34-67 %ile,clerical,no,protestant,yes,democrat
51,male,White,SomeCollege,suburban,north central,68-95 %ile,skilled,yes,catholic,yes,other
44,male,White,CollegeDegree,central,north central,68-95 %ile,clerical,no,catholic,yes,democrat
31,female,NativeAmerican,HighSchool,rural,south,17-33 %ile,professional,no,protestant,yes,democrat
69,female,White,SomeCollege,suburban,northeast,68-95 %ile,clerical,no,catholic,yes,democrat
46,female,White,HighSchool,rural,west,0-16 %ile,clerical,no,catholic,yes,democrat
34,female,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,other
27,female,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,democrat
19,female,White,SomeCollege,rural,south,17-33 %ile,professional,no,protestant,yes,republican
67,female,White,GradeSchool,rural,north central,34-67 %ile,skilled,no,protestant,yes,republican
35,female,White,HighSchool,rural,north central,68-95 %ile,clerical,no,protestant,yes,republican
27,female,Hispanic,HighSchool,suburban,west,68-95 %ile,clerical,no,protestant,no,NA
19,male,White,HighSchool,central,west,0-16 %ile,laborer,no,protestant,yes,other
22,female,Black,HighSchool,central,south,17-33 %ile,professional,no,protestant,yes,democrat
20,female,Black,HighSchool,central,south,17-33 %ile,homemakers,no,protestant,no,NA
41,female,White,CollegeDegree,suburban,south,34-67 %ile,professional,yes,protestant,yes,republican
33,male,Black,CollegeDegree,suburban,north central,68-95 %ile,clerical,no,protestant,yes,democrat
19,male,Black,HighSchool,suburban,northeast,0-16 %ile,professional,no,protestant,yes,democrat
31,male,White,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,protestant,yes,republican
35,female,White,HighSchool,suburban,northeast,17-33 %ile,skilled,no,protestant,yes,democrat
37,female,Black,CollegeDegree,suburban,northeast,68-95 %ile,homemakers,yes,protestant,yes,democrat
39,male,White,HighSchool,suburban,west,68-95 %ile,professional,no,other,yes,other
42,male,Black,CollegeDegree,suburban,west,96-100 %ile,skilled,yes,catholic,yes,democrat
51,male,Hispanic,HighSchool,rural,northeast,34-67 %ile,farmers,yes,other,yes,democrat
55,female,White,SomeCollege,rural,northeast,96-100 %ile,clerical,yes,catholic,yes,republican
33,male,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,republican
61,female,Black,HighSchool,rural,south,17-33 %ile,skilled,no,protestant,yes,republican
36,male,White,HighSchool,rural,south,17-33 %ile,laborer,no,protestant,yes,republican
31,male,White,HighSchool,rural,west,68-95 %ile,skilled,yes,protestant,yes,republican
49,female,Black,SomeCollege,central,west,0-16 %ile,skilled,no,other,yes,democrat
41,male,Black,HighSchool,central,north central,34-67 %ile,skilled,yes,protestant,yes,republican
20,female,White,SomeCollege,central,south,0-16 %ile,clerical,no,protestant,yes,other
62,female,White,HighSchool,central,south,0-16 %ile,professional,no,protestant,yes,republican
49,female,Hispanic,HighSchool,suburban,south,17-33 %ile,homemakers,no,catholic,yes,democrat
85,female,White,SomeCollege,rural,south,17-33 %ile,professional,no,protestant,yes,republican
66,female,Hispanic,HighSchool,suburban,northeast,17-33 %ile,skilled,no,protestant,yes,republican
32,female,White,SomeCollege,suburban,north central,68-95 %ile,homemakers,no,protestant,yes,democrat
24,male,White,SomeCollege,central,west,34-67 %ile,skilled,no,protestant,yes,republican
32,female,Hispanic,SomeCollege,suburban,northeast,96-100 %ile,clerical,no,other,no,NA
54,male,White,CollegeDegree,suburban,northeast,68-95 %ile,clerical,no,catholic,yes,democrat
51,male,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,protestant,yes,democrat
58,male,White,HighSchool,rural,south,0-16 %ile,skilled,no,protestant,yes,democrat
32,male,Asian,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,republican
35,female,White,SomeCollege,rural,south,17-33 %ile,skilled,no,protestant,yes,republican
42,male,White,CollegeDegree,suburban,north central,68-95 %ile,professional,no,other,yes,democrat
31,female,White,HighSchool,suburban,south,34-67 %ile,clerical,no,protestant,yes,republican
41,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,republican
57,male,Black,HighSchool,central,northeast,68-95 %ile,skilled,yes,protestant,yes,democrat
33,male,White,SomeCollege,rural,north central,34-67 %ile,skilled,no,protestant,yes,republican
74,female,White,CollegeDegree,central,west,68-95 %ile,professional,no,protestant,yes,republican
72,female,White,CollegeDegree,central,west,68-95 %ile,homemakers,no,other,yes,democrat
42,male,White,CollegeDegree,suburban,west,68-95 %ile,professional,no,protestant,no,NA
